@relation Ogrenci_Performans

@attribute ﻿Cinsiyet {Kadin,Erkek}
@attribute 'Ebeveyn Egitim Seviyesi' {'Lisans Mezunu','Onlisans Mezunu','Yuksek Lisans Mezunu','Lise Mezunu'}
@attribute 'Okul Yemekhanesi' {Yok,Var}
@attribute 'Ozel Ders' {Yok,Var}
@attribute Matematik numeric
@attribute Okuma numeric
@attribute Yazma numeric

@data
Kadin,'Lise Mezunu',Var,Yok,65,86,80
Kadin,'Lisans Mezunu',Yok,Yok,65,73,75
Kadin,'Lise Mezunu',Yok,Var,65,74,77
Erkek,'Onlisans Mezunu',Yok,Var,65,65,63
Erkek,'Lise Mezunu',Var,Yok,65,59,53
Kadin,'Onlisans Mezunu',Var,Yok,65,77,74
Erkek,'Onlisans Mezunu',Var,Yok,65,58,49
Kadin,'Onlisans Mezunu',Var,Yok,65,85,76
Kadin,'Onlisans Mezunu',Yok,Yok,65,76,76
Kadin,'Lise Mezunu',Yok,Yok,65,82,81
Kadin,'Onlisans Mezunu',Yok,Yok,65,77,74
Erkek,'Onlisans Mezunu',Var,Var,65,73,68
Kadin,'Lisans Mezunu',Yok,Var,65,81,81
Kadin,'Onlisans Mezunu',Yok,Var,65,70,74
Kadin,'Lise Mezunu',Yok,Yok,65,69,67
Kadin,'Onlisans Mezunu',Yok,Var,65,84,84
Kadin,'Onlisans Mezunu',Yok,Var,65,75,77
Kadin,'Lise Mezunu',Yok,Yok,65,69,76
Kadin,'Lisans Mezunu',Yok,Yok,65,79,81
Kadin,'Lise Mezunu',Yok,Var,65,78,82
Kadin,'Lise Mezunu',Var,Var,65,61,71
Kadin,'Lise Mezunu',Var,Var,65,76,75
Kadin,'Lise Mezunu',Yok,Var,65,82,78
Erkek,'Lise Mezunu',Yok,Yok,66,69,63
Kadin,'Lise Mezunu',Yok,Yok,66,71,76
Erkek,'Onlisans Mezunu',Yok,Var,66,63,64
Kadin,'Lise Mezunu',Var,Var,66,74,78
Erkek,'Onlisans Mezunu',Var,Yok,66,62,64
Kadin,'Onlisans Mezunu',Yok,Yok,66,65,69
Erkek,'Lise Mezunu',Var,Yok,66,77,70
Erkek,'Lisans Mezunu',Yok,Yok,66,60,57
Erkek,'Onlisans Mezunu',Yok,Yok,66,57,52
Erkek,'Lisans Mezunu',Yok,Yok,66,64,62
Kadin,'Lise Mezunu',Yok,Yok,66,69,68
Kadin,'Onlisans Mezunu',Yok,Var,66,74,73
Kadin,'Lise Mezunu',Yok,Var,66,78,78
Kadin,'Lisans Mezunu',Var,Var,66,83,83
Kadin,'Lisans Mezunu',Yok,Var,66,74,81
Kadin,'Lise Mezunu',Var,Yok,66,76,68
Kadin,'Lisans Mezunu',Var,Var,66,74,81
Erkek,'Lise Mezunu',Var,Yok,66,66,59
Erkek,'Onlisans Mezunu',Yok,Yok,66,59,52
Erkek,'Onlisans Mezunu',Yok,Yok,66,65,60
Kadin,'Lise Mezunu',Yok,Yok,66,72,70
Erkek,'Lise Mezunu',Var,Yok,66,74,69
Kadin,'Onlisans Mezunu',Yok,Yok,66,77,73
Erkek,'Lise Mezunu',Yok,Var,66,68,64
Kadin,'Lisans Mezunu',Yok,Yok,67,69,75
Erkek,'Lise Mezunu',Yok,Yok,67,64,61
Kadin,'Onlisans Mezunu',Var,Var,67,75,70
Kadin,'Onlisans Mezunu',Yok,Var,67,84,86
Kadin,'Lisans Mezunu',Yok,Yok,67,86,83
Kadin,'Lise Mezunu',Yok,Yok,67,89,82
Erkek,'Onlisans Mezunu',Var,Yok,67,62,60
Kadin,'Onlisans Mezunu',Yok,Var,67,84,81
Erkek,'Lisans Mezunu',Yok,Var,67,61,68
Kadin,'Lise Mezunu',Var,Var,67,79,84
Erkek,'Onlisans Mezunu',Yok,Var,67,72,67
Kadin,'Onlisans Mezunu',Yok,Yok,67,76,75
Kadin,'Onlisans Mezunu',Yok,Var,67,81,79
Kadin,'Lise Mezunu',Yok,Var,67,74,77
Kadin,'Lise Mezunu',Var,Var,67,78,79
Erkek,'Onlisans Mezunu',Yok,Yok,67,64,70
Kadin,'Lise Mezunu',Var,Var,67,80,81
Kadin,'Lise Mezunu',Yok,Yok,67,72,74
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,67,57,59
Erkek,'Lise Mezunu',Yok,Var,67,73,68
Erkek,'Onlisans Mezunu',Yok,Var,67,54,63
Kadin,'Lise Mezunu',Var,Yok,67,84,84
Kadin,'Lisans Mezunu',Var,Yok,67,75,72
Erkek,'Onlisans Mezunu',Var,Var,67,74,70
Erkek,'Onlisans Mezunu',Yok,Yok,67,57,53
Kadin,'Onlisans Mezunu',Var,Var,67,86,83
Erkek,'Lisans Mezunu',Yok,Var,68,74,74
Kadin,'Lisans Mezunu',Yok,Var,68,75,81
Kadin,'Lise Mezunu',Yok,Var,68,83,78
Erkek,'Lise Mezunu',Var,Yok,68,72,64
Erkek,'Lise Mezunu',Yok,Yok,68,60,53
Kadin,'Onlisans Mezunu',Var,Var,68,67,69
Erkek,'Onlisans Mezunu',Yok,Yok,68,59,62
Erkek,'Lise Mezunu',Var,Yok,68,63,54
Kadin,'Onlisans Mezunu',Yok,Var,68,86,84
Erkek,'Onlisans Mezunu',Var,Yok,68,68,61
Erkek,'Lise Mezunu',Yok,Var,68,64,66
Erkek,'Lise Mezunu',Yok,Yok,68,70,66
Erkek,'Onlisans Mezunu',Yok,Yok,68,60,59
Kadin,'Onlisans Mezunu',Yok,Var,68,67,73
Erkek,'Lisans Mezunu',Var,Yok,68,68,67
Erkek,'Lisans Mezunu',Yok,Yok,68,68,64
Kadin,'Lise Mezunu',Yok,Var,68,80,76
Erkek,'Lise Mezunu',Yok,Var,68,51,57
Kadin,'Onlisans Mezunu',Var,Var,68,77,80
Erkek,'Onlisans Mezunu',Yok,Yok,68,72,65
Kadin,'Lise Mezunu',Yok,Yok,68,71,75
Erkek,'Onlisans Mezunu',Var,Yok,68,65,61
Erkek,'Lise Mezunu',Yok,Yok,68,54,53
Kadin,'Onlisans Mezunu',Yok,Yok,68,70,66
Kadin,'Onlisans Mezunu',Yok,Yok,68,76,67
Kadin,'Onlisans Mezunu',Yok,Var,68,78,77
Kadin,'Onlisans Mezunu',Yok,Var,69,90,88
Kadin,'Lise Mezunu',Yok,Yok,69,75,78
Kadin,'Lise Mezunu',Yok,Yok,69,73,73
Erkek,'Onlisans Mezunu',Yok,Yok,69,54,55
Kadin,'Onlisans Mezunu',Yok,Yok,69,74,74
Kadin,'Onlisans Mezunu',Yok,Yok,69,80,71
Kadin,'Yuksek Lisans Mezunu',Yok,Var,69,84,85
Erkek,'Onlisans Mezunu',Yok,Yok,69,77,69
Kadin,'Lise Mezunu',Yok,Yok,69,72,77
Erkek,'Lisans Mezunu',Yok,Yok,69,63,61
Erkek,'Onlisans Mezunu',Yok,Yok,69,67,69
Kadin,'Lise Mezunu',Yok,Var,69,76,74
Erkek,'Lise Mezunu',Yok,Var,69,58,53
Erkek,'Lise Mezunu',Var,Yok,69,71,65
Erkek,'Onlisans Mezunu',Var,Yok,69,66,60
Erkek,'Lisans Mezunu',Yok,Yok,69,58,57
Kadin,'Onlisans Mezunu',Yok,Yok,69,77,77
Kadin,'Lise Mezunu',Yok,Yok,69,77,73
Erkek,'Onlisans Mezunu',Var,Var,69,60,63
Erkek,'Onlisans Mezunu',Var,Var,69,70,63
Kadin,'Onlisans Mezunu',Yok,Var,69,79,81
Erkek,'Lise Mezunu',Yok,Yok,69,66,61
Kadin,'Onlisans Mezunu',Yok,Yok,69,78,76
Kadin,'Lise Mezunu',Yok,Var,69,77,78
Erkek,'Lise Mezunu',Yok,Yok,69,75,71
Erkek,'Onlisans Mezunu',Yok,Yok,69,64,68
Erkek,'Onlisans Mezunu',Yok,Var,69,77,77
Erkek,'Onlisans Mezunu',Yok,Yok,69,60,54
Kadin,'Lise Mezunu',Var,Var,69,86,81
Kadin,'Onlisans Mezunu',Var,Yok,69,65,74
Kadin,'Onlisans Mezunu',Yok,Yok,69,84,82
Erkek,'Lise Mezunu',Var,Yok,69,70,67
Erkek,'Lise Mezunu',Yok,Yok,70,70,65
Kadin,'Lise Mezunu',Yok,Yok,70,64,72
Erkek,'Lise Mezunu',Yok,Yok,70,55,56
Kadin,'Onlisans Mezunu',Yok,Var,70,89,88
Kadin,'Onlisans Mezunu',Yok,Yok,70,75,78
Kadin,'Onlisans Mezunu',Var,Var,70,78,78
Kadin,'Yuksek Lisans Mezunu',Yok,Var,70,71,74
Erkek,'Lise Mezunu',Yok,Yok,70,56,51
Erkek,'Lise Mezunu',Yok,Yok,70,74,71
Erkek,'Lise Mezunu',Yok,Yok,70,65,60
Kadin,'Lise Mezunu',Yok,Var,70,82,76
Erkek,'Lisans Mezunu',Var,Var,70,68,72
Erkek,'Lise Mezunu',Yok,Yok,70,70,70
Kadin,'Onlisans Mezunu',Var,Yok,70,84,81
Kadin,'Onlisans Mezunu',Yok,Var,70,72,76
Erkek,'Lisans Mezunu',Yok,Var,70,64,70
Erkek,'Lisans Mezunu',Var,Var,70,75,74
Erkek,'Onlisans Mezunu',Var,Yok,70,63,58
Kadin,'Onlisans Mezunu',Yok,Yok,71,83,78
Kadin,'Lise Mezunu',Var,Var,71,84,87
Kadin,'Onlisans Mezunu',Yok,Yok,71,71,74
Erkek,'Lise Mezunu',Yok,Yok,71,79,71
Erkek,'Onlisans Mezunu',Yok,Var,71,61,69
Kadin,'Onlisans Mezunu',Yok,Var,71,77,77
Kadin,'Onlisans Mezunu',Var,Yok,71,83,83
Kadin,'Onlisans Mezunu',Var,Yok,71,76,70
Erkek,'Onlisans Mezunu',Yok,Var,71,74,68
Erkek,'Lise Mezunu',Yok,Yok,71,66,65
Kadin,'Onlisans Mezunu',Yok,Yok,71,81,80
Erkek,'Lise Mezunu',Yok,Yok,71,60,61
Kadin,'Lise Mezunu',Yok,Yok,71,83,77
Erkek,'Onlisans Mezunu',Yok,Yok,71,66,60
Erkek,'Lisans Mezunu',Yok,Var,71,74,68
Kadin,'Onlisans Mezunu',Yok,Yok,71,70,76
Kadin,'Lisans Mezunu',Yok,Var,71,76,83
Erkek,'Onlisans Mezunu',Yok,Yok,71,49,52
Erkek,'Onlisans Mezunu',Yok,Var,71,75,70
Erkek,'Lise Mezunu',Yok,Yok,71,62,50
Erkek,'Lise Mezunu',Yok,Yok,71,74,64
Erkek,'Lise Mezunu',Yok,Var,71,69,68
Kadin,'Lise Mezunu',Var,Yok,71,87,82
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,71,67,67
Kadin,'Onlisans Mezunu',Yok,Var,71,71,80
Kadin,'Lisans Mezunu',Yok,Var,71,70,70
Kadin,'Lisans Mezunu',Yok,Yok,72,72,74
Erkek,'Onlisans Mezunu',Yok,Yok,72,64,63
Erkek,'Lise Mezunu',Yok,Yok,72,68,67
Erkek,'Lise Mezunu',Yok,Var,72,73,74
Kadin,'Onlisans Mezunu',Yok,Yok,72,72,71
Kadin,'Lise Mezunu',Yok,Yok,72,80,75
Erkek,'Lise Mezunu',Yok,Var,72,65,68
Erkek,'Lise Mezunu',Var,Var,72,67,65
Erkek,'Lise Mezunu',Yok,Var,72,67,64
Kadin,'Lise Mezunu',Var,Yok,72,81,79
Erkek,'Onlisans Mezunu',Yok,Yok,72,79,74
Kadin,'Onlisans Mezunu',Yok,Var,72,79,82
Kadin,'Lise Mezunu',Var,Yok,72,79,77
Kadin,'Lise Mezunu',Yok,Yok,72,80,83
Erkek,'Lise Mezunu',Yok,Yok,72,66,66
Erkek,'Yuksek Lisans Mezunu',Var,Var,72,66,72
Erkek,'Onlisans Mezunu',Yok,Yok,72,57,62
Erkek,'Onlisans Mezunu',Yok,Yok,72,57,58
Erkek,'Yuksek Lisans Mezunu',Var,Yok,73,74,72
Kadin,'Onlisans Mezunu',Yok,Yok,73,80,82
Kadin,'Lise Mezunu',Yok,Yok,73,86,82
Erkek,'Onlisans Mezunu',Var,Yok,73,68,66
Erkek,'Lise Mezunu',Var,Var,73,68,66
Erkek,'Lisans Mezunu',Var,Yok,73,56,57
Kadin,'Lisans Mezunu',Var,Yok,73,79,84
Kadin,'Onlisans Mezunu',Yok,Yok,73,76,80
Kadin,'Lise Mezunu',Yok,Yok,73,84,85
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,73,70,75
Erkek,'Lise Mezunu',Var,Var,73,67,59
Erkek,'Lise Mezunu',Yok,Yok,73,66,66
Kadin,'Onlisans Mezunu',Yok,Yok,73,83,76
Erkek,'Lise Mezunu',Yok,Var,73,71,68
Erkek,'Lise Mezunu',Yok,Var,73,69,68
Erkek,'Lise Mezunu',Yok,Yok,73,66,62
Kadin,'Onlisans Mezunu',Yok,Var,73,75,80
Kadin,'Lise Mezunu',Yok,Yok,73,79,79
Erkek,'Lise Mezunu',Yok,Yok,73,66,63
Erkek,'Onlisans Mezunu',Yok,Yok,73,74,61
Kadin,'Onlisans Mezunu',Yok,Var,73,78,76
Kadin,'Onlisans Mezunu',Var,Yok,73,76,78
Erkek,'Onlisans Mezunu',Yok,Var,73,78,72
Kadin,'Lise Mezunu',Var,Yok,73,92,84
Kadin,'Onlisans Mezunu',Yok,Yok,73,76,78
Erkek,'Lise Mezunu',Yok,Yok,73,64,57
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,73,78,74
Erkek,'Lisans Mezunu',Var,Var,74,71,80
Kadin,'Onlisans Mezunu',Yok,Yok,74,81,83
Erkek,'Lisans Mezunu',Var,Var,74,79,75
Erkek,'Lise Mezunu',Yok,Var,74,71,78
Kadin,'Onlisans Mezunu',Var,Yok,74,81,76
Kadin,'Onlisans Mezunu',Yok,Var,74,75,83
Erkek,'Lise Mezunu',Yok,Yok,74,74,72
Erkek,'Lise Mezunu',Yok,Yok,74,63,57
Erkek,'Onlisans Mezunu',Yok,Yok,74,73,67
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,74,79,82
Kadin,'Onlisans Mezunu',Yok,Yok,74,89,84
Kadin,'Onlisans Mezunu',Yok,Var,74,75,79
Kadin,'Lise Mezunu',Yok,Yok,74,81,71
Kadin,'Lise Mezunu',Yok,Yok,74,76,73
Kadin,'Onlisans Mezunu',Var,Var,74,88,90
Kadin,'Lise Mezunu',Yok,Var,74,79,80
Erkek,'Onlisans Mezunu',Var,Yok,74,77,73
Kadin,'Lise Mezunu',Var,Var,74,90,88
Kadin,'Lise Mezunu',Yok,Yok,74,72,72
Kadin,'Lisans Mezunu',Var,Var,74,86,89
Erkek,'Onlisans Mezunu',Var,Var,74,77,76
Erkek,'Lise Mezunu',Var,Yok,74,70,69
Erkek,'Lise Mezunu',Yok,Var,74,64,60
Kadin,'Lise Mezunu',Var,Yok,74,74,72
Kadin,'Lise Mezunu',Yok,Yok,74,75,82
Kadin,'Onlisans Mezunu',Var,Var,75,90,88
Kadin,'Lisans Mezunu',Var,Yok,75,85,82
Kadin,'Onlisans Mezunu',Yok,Var,75,81,84
Kadin,'Onlisans Mezunu',Var,Var,75,88,85
Erkek,'Lise Mezunu',Yok,Yok,75,74,69
Kadin,'Lise Mezunu',Yok,Yok,75,86,79
Erkek,'Lise Mezunu',Var,Yok,75,74,66
Erkek,'Onlisans Mezunu',Yok,Yok,75,68,64
Erkek,'Onlisans Mezunu',Var,Yok,75,66,73
Erkek,'Lisans Mezunu',Yok,Var,75,58,62
Erkek,'Lise Mezunu',Yok,Var,75,69,68
Erkek,'Lise Mezunu',Yok,Yok,75,72,62
Kadin,'Lise Mezunu',Yok,Yok,75,88,85
Kadin,'Onlisans Mezunu',Yok,Var,75,82,90
Erkek,'Lisans Mezunu',Yok,Yok,75,73,74
Erkek,'Onlisans Mezunu',Var,Yok,75,81,74
Kadin,'Lise Mezunu',Yok,Var,75,82,79
Erkek,'Onlisans Mezunu',Var,Yok,75,68,65
Kadin,'Onlisans Mezunu',Yok,Var,75,77,83
Erkek,'Lise Mezunu',Yok,Yok,75,81,71
Kadin,'Lisans Mezunu',Yok,Yok,75,84,80
Erkek,'Onlisans Mezunu',Yok,Yok,76,78,75
Kadin,'Onlisans Mezunu',Var,Yok,76,83,88
Kadin,'Lise Mezunu',Yok,Yok,76,72,71
Erkek,'Onlisans Mezunu',Yok,Var,76,83,79
Erkek,'Onlisans Mezunu',Yok,Yok,76,64,66
Erkek,'Lise Mezunu',Yok,Yok,76,73,68
Erkek,'Onlisans Mezunu',Yok,Yok,76,70,68
Erkek,'Lise Mezunu',Yok,Var,76,70,69
Erkek,'Onlisans Mezunu',Yok,Yok,76,67,67
Erkek,'Lisans Mezunu',Yok,Var,76,62,66
Erkek,'Onlisans Mezunu',Yok,Yok,76,71,67
Erkek,'Onlisans Mezunu',Yok,Yok,76,71,72
Erkek,'Onlisans Mezunu',Yok,Yok,76,71,73
Kadin,'Lise Mezunu',Yok,Var,76,87,85
Kadin,'Onlisans Mezunu',Yok,Yok,76,78,80
Kadin,'Onlisans Mezunu',Yok,Yok,76,74,73
Kadin,'Onlisans Mezunu',Var,Var,76,94,87
Kadin,'Lise Mezunu',Yok,Yok,76,76,74
Erkek,'Lise Mezunu',Yok,Var,76,62,60
Kadin,'Lise Mezunu',Var,Var,76,85,82
Erkek,'Lise Mezunu',Yok,Var,76,80,73
Erkek,'Onlisans Mezunu',Var,Var,77,69,68
Kadin,'Onlisans Mezunu',Var,Var,77,89,98
Erkek,'Lisans Mezunu',Yok,Yok,77,67,68
Kadin,'Lisans Mezunu',Yok,Yok,77,88,87
Erkek,'Onlisans Mezunu',Yok,Var,77,62,62
Erkek,'Lise Mezunu',Yok,Var,77,76,77
Kadin,'Yuksek Lisans Mezunu',Yok,Var,77,82,91
Kadin,'Lisans Mezunu',Yok,Var,77,94,95
Kadin,'Onlisans Mezunu',Yok,Yok,77,68,77
Kadin,'Onlisans Mezunu',Var,Yok,77,90,91
Kadin,'Lise Mezunu',Var,Var,77,88,85
Kadin,'Yuksek Lisans Mezunu',Var,Var,77,97,94
Erkek,'Onlisans Mezunu',Var,Yok,77,62,64
Kadin,'Lise Mezunu',Yok,Yok,77,79,80
Erkek,'Onlisans Mezunu',Var,Yok,77,67,64
Kadin,'Lisans Mezunu',Var,Yok,77,85,87
Erkek,'Onlisans Mezunu',Var,Yok,77,78,73
Kadin,'Onlisans Mezunu',Yok,Yok,77,77,73
Kadin,'Lise Mezunu',Yok,Var,77,90,85
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,77,90,84
Kadin,'Lise Mezunu',Yok,Yok,77,91,88
Kadin,'Lise Mezunu',Yok,Var,77,82,89
Erkek,'Lise Mezunu',Yok,Var,77,68,69
Kadin,'Onlisans Mezunu',Var,Yok,77,86,86
Erkek,'Onlisans Mezunu',Yok,Var,78,72,70
Erkek,'Onlisans Mezunu',Var,Var,78,81,82
Kadin,'Lisans Mezunu',Yok,Yok,78,82,79
Kadin,'Lisans Mezunu',Var,Yok,78,79,76
Erkek,'Onlisans Mezunu',Yok,Var,78,77,77
Erkek,'Lise Mezunu',Var,Var,78,77,80
Kadin,'Lise Mezunu',Yok,Yok,78,81,80
Erkek,'Lise Mezunu',Var,Var,78,83,80
Erkek,'Lise Mezunu',Yok,Var,78,81,86
Kadin,'Lisans Mezunu',Var,Yok,78,90,93
Erkek,'Onlisans Mezunu',Var,Var,78,74,72
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,78,91,96
Erkek,'Lise Mezunu',Yok,Var,78,72,69
Kadin,'Onlisans Mezunu',Yok,Var,78,87,91
Erkek,'Lisans Mezunu',Var,Var,79,74,72
Kadin,'Onlisans Mezunu',Yok,Yok,79,86,92
Erkek,'Onlisans Mezunu',Yok,Yok,79,67,67
Kadin,'Lisans Mezunu',Yok,Var,79,92,89
Kadin,'Onlisans Mezunu',Yok,Yok,79,86,81
Erkek,'Onlisans Mezunu',Yok,Var,79,79,78
Erkek,'Onlisans Mezunu',Yok,Yok,79,73,67
Erkek,'Yuksek Lisans Mezunu',Var,Yok,79,81,71
Erkek,'Lise Mezunu',Var,Yok,79,82,73
Kadin,'Lisans Mezunu',Yok,Yok,79,89,89
Erkek,'Onlisans Mezunu',Var,Var,79,82,82
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,79,78,77
Kadin,'Onlisans Mezunu',Yok,Var,79,88,94
Erkek,'Onlisans Mezunu',Var,Var,79,82,80
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,79,72,69
Erkek,'Lise Mezunu',Var,Yok,79,76,65
Erkek,'Lise Mezunu',Yok,Yok,79,60,65
Kadin,'Onlisans Mezunu',Var,Yok,79,89,86
Kadin,'Lisans Mezunu',Yok,Var,79,81,82
Erkek,'Yuksek Lisans Mezunu',Var,Var,79,77,75
Kadin,'Onlisans Mezunu',Yok,Var,79,84,91
Erkek,'Lise Mezunu',Yok,Var,79,85,86
Erkek,'Lisans Mezunu',Yok,Var,80,78,81
Erkek,'Lise Mezunu',Yok,Yok,80,76,65
Erkek,'Lise Mezunu',Var,Var,80,79,79
Erkek,'Onlisans Mezunu',Yok,Yok,80,75,77
Kadin,'Lisans Mezunu',Yok,Yok,80,83,83
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,80,80,72
Erkek,'Onlisans Mezunu',Yok,Yok,80,76,64
Kadin,'Onlisans Mezunu',Yok,Yok,80,90,89
Kadin,'Lise Mezunu',Yok,Yok,80,90,82
Kadin,'Onlisans Mezunu',Yok,Yok,80,86,83
Erkek,'Onlisans Mezunu',Yok,Yok,80,68,72
Kadin,'Lise Mezunu',Yok,Var,80,92,88
Erkek,'Onlisans Mezunu',Yok,Yok,80,63,63
Kadin,'Lise Mezunu',Yok,Var,80,85,85
Erkek,'Lisans Mezunu',Yok,Yok,80,73,72
Erkek,'Onlisans Mezunu',Yok,Yok,80,75,69
Erkek,'Onlisans Mezunu',Var,Yok,80,64,66
Erkek,'Onlisans Mezunu',Yok,Var,81,81,79
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,81,92,91
Kadin,'Yuksek Lisans Mezunu',Yok,Var,81,91,87
Erkek,'Lise Mezunu',Yok,Var,81,80,76
Erkek,'Onlisans Mezunu',Yok,Var,81,82,82
Erkek,'Onlisans Mezunu',Var,Var,81,78,81
Erkek,'Onlisans Mezunu',Yok,Yok,81,73,72
Kadin,'Lisans Mezunu',Yok,Yok,81,88,90
Kadin,'Onlisans Mezunu',Yok,Yok,81,77,79
Kadin,'Lise Mezunu',Yok,Yok,81,91,89
Kadin,'Lise Mezunu',Yok,Yok,81,97,96
Erkek,'Onlisans Mezunu',Yok,Var,81,72,77
Erkek,'Onlisans Mezunu',Var,Yok,81,75,78
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,81,81,84
Erkek,'Onlisans Mezunu',Yok,Var,81,74,71
Erkek,'Onlisans Mezunu',Yok,Yok,81,71,73
Kadin,'Lise Mezunu',Yok,Yok,81,84,82
Kadin,'Yuksek Lisans Mezunu',Var,Yok,81,86,87
Erkek,'Onlisans Mezunu',Yok,Yok,81,82,84
Erkek,'Lise Mezunu',Yok,Yok,81,66,64
Erkek,'Lise Mezunu',Yok,Yok,81,78,78
Erkek,'Lise Mezunu',Yok,Var,81,75,76
Erkek,'Lise Mezunu',Yok,Var,82,84,82
Kadin,'Onlisans Mezunu',Yok,Var,82,85,86
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,82,82,74
Erkek,'Onlisans Mezunu',Var,Var,82,78,74
Erkek,'Lisans Mezunu',Yok,Yok,82,62,62
Kadin,'Onlisans Mezunu',Yok,Yok,82,90,94
Erkek,'Onlisans Mezunu',Yok,Var,82,75,77
Kadin,'Onlisans Mezunu',Yok,Var,82,97,96
Kadin,'Onlisans Mezunu',Yok,Yok,82,80,77
Kadin,'Onlisans Mezunu',Var,Var,82,93,93
Kadin,'Lise Mezunu',Yok,Yok,82,82,80
Kadin,'Onlisans Mezunu',Yok,Yok,82,95,89
Kadin,'Onlisans Mezunu',Yok,Yok,82,93,93
Kadin,'Onlisans Mezunu',Yok,Yok,82,85,87
Erkek,'Lise Mezunu',Yok,Yok,82,67,61
Erkek,'Onlisans Mezunu',Yok,Var,82,82,88
Erkek,'Onlisans Mezunu',Yok,Var,82,84,78
Erkek,'Lise Mezunu',Yok,Yok,82,82,80
Erkek,'Onlisans Mezunu',Yok,Yok,83,80,73
Kadin,'Onlisans Mezunu',Var,Var,83,86,88
Erkek,'Lisans Mezunu',Yok,Var,83,82,84
Erkek,'Lisans Mezunu',Yok,Yok,83,78,73
Erkek,'Onlisans Mezunu',Yok,Yok,83,72,78
Kadin,'Lisans Mezunu',Yok,Yok,83,93,95
Kadin,'Onlisans Mezunu',Yok,Var,83,85,90
Kadin,'Onlisans Mezunu',Yok,Yok,83,83,90
Erkek,'Lise Mezunu',Yok,Yok,84,77,74
Erkek,'Lise Mezunu',Yok,Var,84,83,75
Erkek,'Onlisans Mezunu',Yok,Yok,84,80,80
Erkek,'Onlisans Mezunu',Yok,Yok,84,77,71
Erkek,'Onlisans Mezunu',Yok,Var,84,83,78
Erkek,'Lise Mezunu',Yok,Yok,84,73,69
Kadin,'Onlisans Mezunu',Yok,Yok,84,87,91
Erkek,'Yuksek Lisans Mezunu',Var,Var,84,89,90
Erkek,'Lise Mezunu',Yok,Yok,84,84,80
Kadin,'Onlisans Mezunu',Yok,Yok,84,95,92
Erkek,'Onlisans Mezunu',Yok,Yok,84,87,81
Kadin,'Onlisans Mezunu',Yok,Yok,85,91,89
Erkek,'Onlisans Mezunu',Yok,Yok,85,76,71
Kadin,'Lise Mezunu',Yok,Var,85,92,93
Erkek,'Lise Mezunu',Yok,Var,85,84,78
Kadin,'Yuksek Lisans Mezunu',Var,Var,85,95,100
Kadin,'Onlisans Mezunu',Yok,Yok,85,89,95
Erkek,'Lisans Mezunu',Yok,Var,85,66,71
Kadin,'Onlisans Mezunu',Yok,Yok,85,84,82
Kadin,'Onlisans Mezunu',Yok,Var,85,86,98
Erkek,'Onlisans Mezunu',Yok,Var,85,75,68
Kadin,'Lise Mezunu',Yok,Var,85,90,92
Kadin,'Onlisans Mezunu',Yok,Yok,85,92,85
Erkek,'Yuksek Lisans Mezunu',Yok,Yok,85,84,89
Erkek,'Onlisans Mezunu',Yok,Var,85,81,85
Erkek,'Lise Mezunu',Yok,Yok,86,80,75
Erkek,'Lise Mezunu',Yok,Yok,86,73,70
Erkek,'Lisans Mezunu',Yok,Yok,86,83,86
Erkek,'Lise Mezunu',Yok,Var,86,81,80
Kadin,'Lisans Mezunu',Yok,Yok,86,92,87
Erkek,'Onlisans Mezunu',Yok,Yok,86,76,74
Kadin,'Onlisans Mezunu',Yok,Var,86,85,91
Erkek,'Lise Mezunu',Var,Var,86,81,75
Kadin,'Yuksek Lisans Mezunu',Yok,Yok,87,100,100
Kadin,'Lise Mezunu',Yok,Yok,87,95,86
Erkek,'Onlisans Mezunu',Var,Var,87,74,70
Erkek,'Lise Mezunu',Yok,Var,87,91,81
Erkek,'Onlisans Mezunu',Yok,Yok,87,85,73
Erkek,'Onlisans Mezunu',Yok,Yok,87,74,76
Erkek,'Onlisans Mezunu',Yok,Var,87,100,95
Erkek,'Onlisans Mezunu',Yok,Var,87,84,85
Erkek,'Lisans Mezunu',Var,Var,87,90,88
Erkek,'Lisans Mezunu',Yok,Var,87,84,87
Kadin,'Onlisans Mezunu',Yok,Var,87,89,94
Erkek,'Onlisans Mezunu',Yok,Var,87,84,86
Kadin,'Onlisans Mezunu',Yok,Yok,87,94,95
Erkek,'Lise Mezunu',Yok,Var,87,84,76
Kadin,'Onlisans Mezunu',Yok,Yok,87,85,93
Erkek,'Onlisans Mezunu',Var,Yok,87,73,72
Kadin,'Onlisans Mezunu',Yok,Var,88,95,92
Erkek,'Lise Mezunu',Yok,Yok,88,89,86
Erkek,'Lise Mezunu',Yok,Yok,88,78,75
